exercise_name,muscle_groups,match_score,Muscle_Group,Anterior_Posterior,Push_Pull_Legs
Standing Calf Raise (Hack Squat),calves,100,calves,anterior,legs
Bent Over Row (Smith Machine),"lats, biceps, forearms",100,lats,posterior,pull
Bent Over Row (Smith Machine),"lats, biceps, forearms",100,biceps,posterior,pull
Bent Over Row (Smith Machine),"lats, biceps, forearms",100,forearms,posterior,pull
Bent Over Row - Underhand (Smith Machine),"lats, biceps, forearms",100,lats,posterior,pull
Bent Over Row - Underhand (Smith Machine),"lats, biceps, forearms",100,biceps,posterior,pull
Bent Over Row - Underhand (Smith Machine),"lats, biceps, forearms",100,forearms,posterior,pull
Seated Row (Plate Loaded),"lats, biceps, forearms",100,lats,posterior,pull
Seated Row (Plate Loaded),"lats, biceps, forearms",100,biceps,posterior,pull
Seated Row (Plate Loaded),"lats, biceps, forearms",100,forearms,posterior,pull
Overhead Triceps (Machine),triceps,100,triceps,anterior,push
